product_number,department_desc,avg_elasticity,total_orders,avg_discount
540,MENS OWN BRAND DENIM,1.106373695612848,1487,22.2178
541,MENS OWN BRAND DENIM,1.4170712826714715,1458,25.623714307936506
550,MENS OWN BRAND DENIM,1.1234401074154305,1296,26.964302828231293
558,MENS OWN BRAND TOPS,1.2443154873174058,3896,17.25284388027211
567,MENS BRANDED CLOTHING,1.651677186330883,1845,12.629439952380954
578,MENS BRANDED FOOTWEAR,1.133939480001745,418,19.12087935164835
580,MENS BRANDED FOOTWEAR,1.1282256891419813,266,10.961538692307691
589,MENS BRANDED CLOTHING,1.545081369696645,1797,25.767142857142858
625,MENS BRANDED CLOTHING,1.539409047020124,156,32.992834101382485
635,MENS BRANDED CLOTHING,12.804880940078325,739,27.504773641114987
636,MENS BRANDED CLOTHING,3.907932375853072,1316,50.93020411020408
639,MENS BRANDED CLOTHING,115476913522320.4,210,5.704638054945055
646,MENS BRANDED CLOTHING,30.716578363462258,256,17.386613258064514
647,MENS BRANDED CLOTHING,1.7757148657503652,152,14.67294470845481
651,MENS BRANDED CLOTHING,592578898338223.4,1240,11.316955071428572
660,MENS BRANDED CLOTHING,48687563539140.914,352,22.268919054054056
666,MENS BRANDED CLOTHING,284437871202347.1,400,11.686677165413533
668,MENS BRANDED CLOTHING,1.6436014452302288,1124,18.309014985221673
676,MENS BRANDED FOOTWEAR,158021039556859.1,560,21.774937360902257
687,MENS OWN BRAND FOOTWEAR,111199990799271.44,152,18.91396880952381
698,MENS OWN BRAND FOOTWEAR,144572440445637.6,906,28.385037646616542
699,MENS OWN BRAND FOOTWEAR,281474976710655.72,1269,9.22642857142857
717,MENS OWN BRAND FOOTWEAR,3.3839151520785897,736,23.346666666666668
720,MENS OWN BRAND FOOTWEAR,100079991719344.42,5771,4.327683317460317
723,MENS OWN BRAND FOOTWEAR,1.1931885231634425,1668,21.20513699088146
726,MENS OWN BRAND FOOTWEAR,30.247660687924046,5229,9.47911227930403
752,MENS BRANDED CLOTHING,64670333632203.05,979,23.456349206349206
774,MENS OWN BRAND KNITWEAR,4.430991482655748,637,14.53450552014652
775,MENS OWN BRAND KNITWEAR,7.330041214281187,511,18.464285757763975
787,MENS OWN BRAND KNITWEAR,250199979298360.4,448,29.544047813492064
790,MENS OWN BRAND KNITWEAR,1.6549325818574396,1368,10.085034513605441
791,MENS OWN BRAND KNITWEAR,1.8861914794456263,858,21.54761911904762
807,MENS OWN BRAND KNITWEAR,1.0347549509454101,935,18.005952630952383
809,MENS OWN BRAND KNITWEAR,617957537227552.6,243,22.10362675824176
813,MENS OWN BRAND KNITWEAR,1.3160433340152415,507,29.790372714285716
818,MENS OWN BRAND KNITWEAR,1.7868276466593724,1427,38.207771508571426
819,MENS OWN BRAND KNITWEAR,375299968947542.2,1976,33.65501984126984
836,MENS OWN BRAND KNITWEAR,1.079639911635758,522,34.723035714285714
841,MENS BRANDED CLOTHING,4.225347453528103,1757,18.606931402116402
883,MENS BRANDED CLOTHING,1.222266754049875,563,21.61904761904762
885,MENS BRANDED CLOTHING,1.181318681318682,132,22.816326530612248
889,MENS BRANDED CLOTHING,1.1746745622780892,931,11.964285797619048
900,MENS BRANDED CLOTHING,2.9279634487782324,1494,17.579365134920636
905,MENS BRANDED CLOTHING,1.6786905848926552,240,22.436974907563027
907,MENS BRANDED CLOTHING,3.157601871259557,304,23.157894789473684
923,MENS OWN BRAND TOPS,1.0196506908368286,1739,56.37755102040817
941,MENS OWN BRAND TOPS,1.5918433929474576,3166,34.790250679197996
946,MENS OWN BRAND TOPS,1.5522696374175764,1607,27.38907289223058
955,MENS OWN BRAND TOPS,2.006057024607074,1757,27.794486268170424
961,MENS OWN BRAND TOPS,2.5807048965697788,426,16.32047619047619
967,MENS OWN BRAND TOPS,1.6722222222222247,288,27.648809523809526
972,MENS OWN BRAND DENIM,173215370283481.16,124,18.583626373626373
982,MENS OWN BRAND DENIM,132822783767777.53,14852,10.30784037414966
983,MENS OWN BRAND DENIM,79332915410487.34,10355,9.228973433035714
985,MENS OWN BRAND TOPS,287095828780146.8,4506,7.072092336734693
991,MENS OWN BRAND DENIM,3.726708373343036,5561,45.54202182566586
1009,MENS BRANDED CLOTHING,1.3878617452228375,212,9.058214785714286
1012,MENS BRANDED CLOTHING,1.0476190476190477,211,25.30612244897959
1027,MENS OWN BRAND DENIM,90071992547415.6,451,30.15914291714286
1030,MENS OWN BRAND DENIM,72638703667266.12,585,28.077050691244242
1032,MENS OWN BRAND OUTERWEAR,1.2947736498204896,483,31.713271970046083
1033,MENS OWN BRAND OUTERWEAR,662294062848602.6,285,22.319235294117647
1040,MENS OWN BRAND OUTERWEAR,1.6820859133638413,2888,18.728991978991598
1043,MENS OWN BRAND FOOTWEAR,233709526117332.4,110,22.741142857142858
1046,MENS OWN BRAND FOOTWEAR,147659004176081.2,297,17.665152224824354
1049,MENS BRANDED FOOTWEAR,360287970189639.75,428,7.243067346666667
1061,MENS BRANDED CLOTHING,2.0314779329304953,2275,21.28323836190476
1062,MENS BRANDED CLOTHING,7.694530458891917,721,26.88748799507389
1078,MENS OWN BRAND TOPS,1.1220566210046186,2413,20.948403420168066
1091,MENS OWN BRAND TOPS,2.4058883765063195,347,17.721932773109245
1095,MENS OWN BRAND TOPS,285708543433540.9,1801,26.34319070952381
1107,MENS OWN BRAND DENIM,1.6385882884013037,1021,20.16487031168831
1111,MENS OWN BRAND DENIM,72638703667265.7,271,17.05652073732719
