Model,R²,RMSE,MAE
Linear Regression,-0.10303056998670135,16.028679321205512,7.635849001279664
Lasso Regression,-0.10720730758665376,16.058997760766534,7.6549958929278015
ElasticNet,-0.10660640710072822,16.05463942193808,7.652066127016452
Random Forest,0.06375295164814421,14.767235355338798,6.903198524055189
Gradient Boosting,0.009358359945795036,15.190156743542467,7.099437592363834
SARIMA,-2.006997774631113,512.6107081113411,436.08210922033265
