Model,MAE,RMSE,R^2
Decision Tree,6.211513710808647,16.14663752023844,0.774000393938473
Random Forest,5.70020911609187,16.229295278174675,0.7716806000418307
Gradient Boosting,9.53938366961854,22.66454614567233,0.5547155346866124
