,R2,RMSE,MAE
Linear Regression,0.7698471468211964,6.553000601406594,3.418674058969725
Lasso Regression,0.738099119977303,6.990375497521223,3.671670601171949
Bayesian Ridge,0.7698355185555763,6.553166141542397,3.4182894663857386
Random Forest,0.7936547846494874,6.204820578807629,3.1246353958305058
Gradient Boosting,0.8168448858881333,5.8457676698892795,2.985665098941076
