Model,R²,RMSE,MAE
Linear Regression,-11.276889276227081,53.37001084314915,9.341306583737508
Lasso Regression,-10.107959314213382,50.765686292984654,9.148396443569501
ElasticNet,-10.197092844307589,50.96895872158743,9.159702855212403
Random Forest,0.5856897919135398,9.804285253954031,4.9146584035037755
Gradient Boosting,0.5986839917496679,9.64931231939151,4.857789111133483
SARIMA,-2.9896712385637976,590.4589035046647,517.0106640906821
