Model,RMSE,MAE,R²
Linear Regression,7.888721582439249,4.229509513410617,0.7354137937524698
Lasso Regression,7.889180195730506,4.229085992368439,0.7353830292548895
ElasticNet,7.889431685257788,4.237264077075724,0.7353661581844005
Random Forest,7.792811496074149,4.146352562076722,0.7418082959704113
Gradient Boosting,7.735016256645002,4.128867898814408,0.7456238421472161
Bayesian Ridge,7.888708529903077,4.229679340255672,0.7354146693108565
