department_desc,dept_avg_elasticity,dept_std_elasticity,elastic_observations,num_elastic_products,total_dept_orders,dept_avg_discount,dept_std_discount
MENS BRANDED CLOTHING,9.787767679273797,102.26643859865864,5433,1773,745309,18.607368949429787,13.822644443835195
MENS BRANDED FOOTWEAR,9.001727234922239,76.77796998144053,683,267,48129,16.559314460282224,12.181815045886227
MENS OWN BRAND BOTTOMS,22.749787178772788,266.46222361448145,992,295,278577,22.26672832297945,16.635499323133665
MENS OWN BRAND DENIM,13.80042694405224,235.18433043756693,611,131,299343,21.453983896649948,13.997422419083435
MENS OWN BRAND FOOTWEAR,9.075078153806453,55.507450537437734,1111,288,282598,22.91872210615161,17.252974624664976
MENS OWN BRAND KNITWEAR,7.20789673606476,32.72901823581357,729,216,143913,20.402662440690126,16.35156869071313
MENS OWN BRAND OUTERWEAR,11.278120794086464,107.96475420860263,508,147,136624,24.858057337374273,18.18584693675893
MENS OWN BRAND TOPS,11.53120546988308,97.11091378840842,2122,706,615294,20.539932624721537,14.475034283692258
