Model,MAE,RMSE,R^2
Linear Regression,7.1446271723162,13.500460099951448,0.054014369049010136
Lasso Regression,7.143596664138212,13.500813126721928,0.05396489479167077
Decision Tree,3.9876265518177774,8.989763361183378,0.5805464056891187
Random Forest,4.065284622821967,8.841136066502846,0.5943013622666339
Gradient Boosting,5.516754909480501,10.53467317551431,0.4239906489251628
