department_desc,department_avg_elasticity,department_total_orders,department_avg_discount
MENS BRANDED CLOTHING,0.06924897892989153,2018523,17.45510211938606
MENS BRANDED FOOTWEAR,0.0,174842,12.624130599221154
MENS OWN BRAND BOTTOMS,0.10487795104445376,696838,20.792494722764147
MENS OWN BRAND DENIM,0.12629402185977506,531538,20.05374408845745
MENS OWN BRAND FOOTWEAR,0.03968253968253969,668893,19.120121382159862
MENS OWN BRAND KNITWEAR,0.17504052459668556,334751,18.08171760612088
MENS OWN BRAND OUTERWEAR,0.06135116328020375,292175,22.507050352565376
MENS OWN BRAND TOPS,0.10792859798612835,1667724,18.992561077110377
