Model,R²,RMSE,MAE
Linear Regression,0.5366854520692714,12.516461572690325,7.237044511650798
Lasso Regression,0.5347803407708933,12.5421685036541,7.244885722688237
ElasticNet,0.5350833057364885,12.538083920793802,7.243485808174786
Random Forest,0.6602801763706175,10.717760468644883,6.49995104976938
Gradient Boosting,0.6875733505363162,10.278213566945688,6.274639162307156
SARIMA,-2.008821483894351,512.7661307729924,436.2351482715191
