Model,MAE,RMSE,R^2
Linear Regression,7.667522919662843,13.320728481071088,0.05801522435941342
Lasso Regression,7.667226563671666,13.321249618267297,0.05794151774371714
Decision Tree,4.45953735661331,8.9314874593787,0.5765174522993686
Random Forest,4.490708006260135,8.905904153007938,0.5789400201556241
Gradient Boosting,6.748611021392796,11.889812415594273,0.24952204883596807
