department_desc,avg_elasticity,total_orders,avg_discount,elastic_products_count,type,product_number
MENS OWN BRAND TOPS,2.267785562614163,165,18.071111751152074,,product,77.0
MENS OWN BRAND TOPS,1.5169483341380974,1280,25.535714285714285,,product,78.0
MENS OWN BRAND TOPS,2.947520587991935,513,15.61436038172043,,product,79.0
MENS OWN BRAND TOPS,1.7162543497967642,20,13.67516129032258,,product,80.0
MENS OWN BRAND TOPS,4.999999999999996,4,24.0,,product,82.0
MENS OWN BRAND TOPS,12.01409313725488,21,20.4,,product,83.0
MENS OWN BRAND TOPS,166.19787100512008,3039,29.223601948968174,,product,85.0
MENS OWN BRAND TOPS,8.068019601036992,782,25.840476190476192,,product,86.0
MENS OWN BRAND TOPS,1.7857142857142858,52,24.516129032258064,,product,87.0
MENS OWN BRAND TOPS,6.77769521808551,160,26.11330079476391,,product,88.0
MENS OWN BRAND TOPS,19.61816965831324,200,21.678463901689707,,product,89.0
MENS OWN BRAND TOPS,1407.3473178274967,1316,24.765376984126984,,product,91.0
MENS OWN BRAND TOPS,6.535725527226946,10,29.41,,product,92.0
MENS OWN BRAND TOPS,1.8508800505111367,1226,28.265777649769586,,product,93.0
MENS OWN BRAND TOPS,130.3584530522501,792,25.293190860215052,,product,94.0
MENS OWN BRAND TOPS,1.9410801963993454,36,21.875,,product,96.0
MENS OWN BRAND TOPS,75.66350519456032,252,28.034867511520737,,product,98.0
MENS OWN BRAND TOPS,13.116537180910129,668,13.214285714285714,,product,100.0
MENS OWN BRAND TOPS,1.6708083386330697,481,19.0,,product,102.0
MENS OWN BRAND TOPS,10.257679279728013,237,26.89655172413793,,product,103.0
MENS OWN BRAND OUTERWEAR,4.356391480288741,65,22.59583333333333,,product,105.0
MENS OWN BRAND OUTERWEAR,1.4273984681031888,41,34.043225806451616,,product,106.0
MENS OWN BRAND OUTERWEAR,72.55179704016915,16,49.95354838709678,,product,107.0
MENS BRANDED CLOTHING,2.2118380062305305,25,32.0,,product,108.0
MENS BRANDED CLOTHING,3.066666666666666,4,28.0,,product,109.0
MENS BRANDED CLOTHING,9.609101579852116,37,39.28178571428571,,product,116.0
MENS BRANDED CLOTHING,1.6390591841546804,1417,24.51086956521739,,product,118.0
MENS OWN BRAND OUTERWEAR,1.0682196141313194,125,5.809354838709678,,product,119.0
MENS OWN BRAND OUTERWEAR,11.760658295396311,446,43.48366666666667,,product,120.0
MENS OWN BRAND OUTERWEAR,3.0885504598682316,97,48.29718279569892,,product,121.0
